mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_name,VIN,od_reading,od_reading_dt
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,3GNBAADB8AS581403,60000,1/1/2018
15,8,350,165,3693,11.5,70,1,buick skylark 320,3GNBAADB8AS581404,60100,1/2/2018
18,8,318,150,3436,11,70,1,plymouth satellite,3GNBAADB8AS581405,60200,1/3/2018
16,8,304,150,3433,12,70,1,amc rebel sst,3GNBAADB8AS581406,60300,1/4/2018
17,8,302,140,3449,10.5,70,1,ford torino,3GNBAADB8AS581407,60400,1/5/2018
15,8,429,198,4341,10,70,1,ford galaxie 500,3GNBAADB8AS581408,60500,1/6/2018
14,8,454,220,4354,9,70,1,chevrolet impala,3GNBAADB8AS581409,60600,1/7/2018
14,8,440,215,4312,8.5,70,1,plymouth fury iii,3GNBAADB8AS581410,60700,1/8/2018
14,8,455,225,4425,10,70,1,pontiac catalina,3GNBAADB8AS581411,60800,1/9/2018
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,3GNBAADB8AS581412,60900,1/10/2018
15,8,383,170,3563,10,70,1,dodge challenger se,3GNBAADB8AS581413,61000,1/11/2018
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,3GNBAADB8AS581414,61100,1/12/2018
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,3GNBAADB8AS581415,61200,1/13/2018
14,8,455,225,3086,10,70,1,buick estate wagon (sw),3GNBAADB8AS581416,61300,1/14/2018
24,4,113,95,2372,15,70,3,toyota corona mark ii,3GNBAADB8AS581417,61400,1/15/2018
22,6,198,95,2833,15.5,70,1,plymouth duster,3GNBAADB8AS581418,61500,1/16/2018
18,6,199,97,2774,15.5,70,1,amc hornet,3GNBAADB8AS581419,61600,1/17/2018
21,6,200,85,2587,16,70,1,ford maverick,3GNBAADB8AS581420,61700,1/18/2018
27,4,97,88,2130,14.5,70,3,datsun pl510,3GNBAADB8AS581421,61800,1/19/2018
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,3GNBAADB8AS581422,61900,1/20/2018
25,4,110,87,2672,17.5,70,2,peugeot 504,3GNBAADB8AS581423,62000,1/21/2018
24,4,107,90,2430,14.5,70,2,audi 100 ls,3GNBAADB8AS581424,62100,1/22/2018
25,4,104,95,2375,17.5,70,2,saab 99e,3GNBAADB8AS581425,62200,1/23/2018
26,4,121,113,2234,12.5,70,2,bmw 2002,3GNBAADB8AS581426,62300,1/24/2018
21,6,199,90,2648,15,70,1,amc gremlin,3GNBAADB8AS581427,62400,1/25/2018
10,8,360,215,4615,14,70,1,ford f250,3GNBAADB8AS581428,62500,1/26/2018
10,8,307,200,4376,15,70,1,chevy c20,3GNBAADB8AS581429,62600,1/27/2018
11,8,318,210,4382,13.5,70,1,dodge d200,3GNBAADB8AS581430,62700,1/28/2018
9,8,304,193,4732,18.5,70,1,hi 1200d,3GNBAADB8AS581431,62800,1/29/2018
27,4,97,88,2130,14.5,71,3,datsun pl510,3GNBAADB8AS581432,62900,1/30/2018
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,3GNBAADB8AS581433,63000,1/31/2018
25,4,113,95,2228,14,71,3,toyota corona,3GNBAADB8AS581434,63100,2/1/2018
25,4,98,?,2046,19,71,1,ford pinto,3GNBAADB8AS581435,63200,2/2/2018
19,6,232,100,2634,13,71,1,amc gremlin,3GNBAADB8AS581436,63300,2/3/2018
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,3GNBAADB8AS581437,63400,2/4/2018
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,3GNBAADB8AS581438,63500,2/5/2018
19,6,250,88,3302,15.5,71,1,ford torino 500,3GNBAADB8AS581439,63600,2/6/2018
18,6,232,100,3288,15.5,71,1,amc matador,3GNBAADB8AS581440,63700,2/7/2018
14,8,350,165,4209,12,71,1,chevrolet impala,3GNBAADB8AS581441,63800,2/8/2018
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,3GNBAADB8AS581442,63900,2/9/2018
14,8,351,153,4154,13.5,71,1,ford galaxie 500,3GNBAADB8AS581443,64000,2/10/2018
14,8,318,150,4096,13,71,1,plymouth fury iii,3GNBAADB8AS581444,64100,2/11/2018
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),3GNBAADB8AS581445,64200,2/12/2018
